[ALERT] Time: 1745660114718 | Sensor: 1 | Type: Upper Threshold Crossed | Temp: 84.4316 C
[ALERT] Time: 1745660114932 | Sensor: 3 | Type: Isolated Low Spike | Temp: 41.238 C [NOTE] Neighbouring Sensors 2 and 4 are normal.
[WARNING] Time: 1745660114932 | Sensor: 3 | Type: Cold Spot Detected | Temp: 41.238
[ALERT] Time: 1745660114932 | Sensor: 9 | Type: Isolated Low Spike | Temp: 42.9945 C [NOTE] Neighbouring Sensors 8 and 10 are normal.
[ALERT] Time: 1745660114932 | Sensor: 9 | Type: Isolated High Spike | Temp: 42.9945 C [NOTE] Neighbouring Sensors 8 and 10 are normal. 
[WARNING] Time: 1745660114932 | Sensor: 14 | Type: Cold Spot Detected | Temp: 40.3292
[WARNING] Time: 1745660114932 | Sensor: 9 | Type: Cold Spot Detected | Temp: 42.9945
[WARNING] Time: 1745660114932 | Sensor: 1 | Type: Cold Spot Detected | Temp: 41.0073
[ALERT] Time: 1745660114932 | Sensor: 8 | Type: Isolated High Spike | Temp: 42.9945 C [NOTE] Neighbouring Sensors 7 and 9 are normal. 
[ALERT] Time: 1745660114932 | Sensor: 7 | Type: Isolated High Spike | Temp: 43.1973 C [NOTE] Neighbouring Sensors 6 and 8 are normal. 
[WARNING] Time: 1745660115040 | Sensor: 14 | Type: Cold Spot Detected | Temp: 40.2504
[ALERT] Time: 1745660114932 | Sensor: 6 | Type: Isolated Low Spike | Temp: 40.3962 C [NOTE] Neighbouring Sensors 5 and 7 are normal.
[ALERT] Time: 1745660115040 | Sensor: 10 | Type: Isolated High Spike | Temp: 43.9167 C [NOTE] Neighbouring Sensors 9 and 11 are normal. 
[WARNING] Time: 1745660114932 | Sensor: 8 | Type: Cold Spot Detected | Temp: 42.9945
[ALERT] Time: 1745660114932 | Sensor: 4 | Type: Isolated High Spike | Temp: 42.9945 C [NOTE] Neighbouring Sensors 3 and 5 are normal. 
[ALERT] Time: 1745660115040 | Sensor: 4 | Type: Isolated Low Spike | Temp: 40.7333 C [NOTE] Neighbouring Sensors 3 and 5 are normal.
[ALERT] Time: 1745660115040 | Sensor: 11 | Type: Isolated High Spike | Temp: 42.4878 C [NOTE] Neighbouring Sensors 10 and 12 are normal. 
[WARNING] Time: 1745660115040 | Sensor: 4 | Type: Cold Spot Detected | Temp: 40.7333
[ALERT] Time: 1745660115040 | Sensor: 12 | Type: Isolated High Spike | Temp: 44.2097 C [NOTE] Neighbouring Sensors 11 and 13 are normal. 
[WARNING] Time: 1745660115040 | Sensor: 9 | Type: Cold Spot Detected | Temp: 40.1432
[WARNING] Time: 1745660115040 | Sensor: 15 | Type: Cold Spot Detected | Temp: 41.8546
[ALERT] Time: 1745660115040 | Sensor: 5 | Type: Isolated High Spike | Temp: 43.073 C [NOTE] Neighbouring Sensors 4 and 6 are normal. 
[ALERT] Time: 1745660115040 | Sensor: 3 | Type: Isolated High Spike | Temp: 43.246 C [NOTE] Neighbouring Sensors 2 and 4 are normal. 
[WARNING] Time: 1745660115040 | Sensor: 8 | Type: Cold Spot Detected | Temp: 40.1071
[ALERT] Time: 1745660115040 | Sensor: 7 | Type: Isolated High Spike | Temp: 44.8229 C [NOTE] Neighbouring Sensors 6 and 8 are normal. 
[ALERT] Time: 1745660115148 | Sensor: 10 | Type: Isolated High Spike | Temp: 43.4668 C [NOTE] Neighbouring Sensors 9 and 11 are normal. 
[WARNING] Time: 1745660115040 | Sensor: 2 | Type: Cold Spot Detected | Temp: 41.0163
[ALERT] Time: 1745660115148 | Sensor: 11 | Type: Isolated High Spike | Temp: 43.778 C [NOTE] Neighbouring Sensors 10 and 12 are normal. 
[WARNING] Time: 1745660115148 | Sensor: 11 | Type: Cold Spot Detected | Temp: 43.778
[ALERT] Time: 1745660115040 | Sensor: 13 | Type: Isolated High Spike | Temp: 42.3844 C [NOTE] Neighbouring Sensors 12 and 14 are normal. 
[WARNING] Time: 1745660115148 | Sensor: 2 | Type: Cold Spot Detected | Temp: 40.9883
[CRITICAL] Time: 1745660115040 | Sensors: 2, 3, 4 | Type: Clustered Low Spike | Avg Temp: 40 C
[WARNING] Time: 1745660115148 | Sensor: 3 | Type: Cold Spot Detected | Temp: 41.8746
[ALERT] Time: 1745660115148 | Sensor: 6 | Type: Isolated High Spike | Temp: 41.5871 C [NOTE] Neighbouring Sensors 5 and 7 are normal. 
[ALERT] Time: 1745660115148 | Sensor: 13 | Type: Isolated High Spike | Temp: 43.0209 C [NOTE] Neighbouring Sensors 12 and 14 are normal. 
[ALERT] Time: 1745660115148 | Sensor: 4 | Type: Isolated High Spike | Temp: 42.6243 C [NOTE] Neighbouring Sensors 3 and 5 are normal. 
[ALERT] Time: 1745660115040 | Sensor: 8 | Type: Isolated Low Spike | Temp: 40.1071 C [NOTE] Neighbouring Sensors 7 and 9 are normal.
[ALERT] Time: 1745660115148 | Sensor: 9 | Type: Isolated High Spike | Temp: 42.0025 C [NOTE] Neighbouring Sensors 8 and 10 are normal. 
[WARNING] Time: 1745660115148 | Sensor: 4 | Type: Cold Spot Detected | Temp: 42.6243
[WARNING] Time: 1745660115148 | Sensor: 12 | Type: Cold Spot Detected | Temp: 40.6886
[ALERT] Time: 1745660115148 | Sensor: 7 | Type: Isolated Low Spike | Temp: 41.1011 C [NOTE] Neighbouring Sensors 6 and 8 are normal.
[ALERT] Time: 1745660115148 | Sensor: 8 | Type: Isolated High Spike | Temp: 43.4886 C [NOTE] Neighbouring Sensors 7 and 9 are normal. 
[WARNING] Time: 1745660115148 | Sensor: 7 | Type: Cold Spot Detected | Temp: 41.1011
[WARNING] Time: 1745660115148 | Sensor: 13 | Type: Cold Spot Detected | Temp: 43.0209
[ALERT] Time: 1745660115249 | Sensor: 10 | Type: Isolated High Spike | Temp: 43.0431 C [NOTE] Neighbouring Sensors 9 and 11 are normal. 
[ALERT] Time: 1745660115249 | Sensor: 6 | Type: Isolated High Spike | Temp: 42.5446 C [NOTE] Neighbouring Sensors 5 and 7 are normal. 
[ALERT] Time: 1745660115249 | Sensor: 3 | Type: Isolated High Spike | Temp: 43.3715 C [NOTE] Neighbouring Sensors 2 and 4 are normal. 
[WARNING] Time: 1745660115249 | Sensor: 11 | Type: Cold Spot Detected | Temp: 42.5331
[CRITICAL] Time: 1745660115249 | Sensors: 11, 12, 13 | Type: Clustered Low Spike | Avg Temp: 41 C
[WARNING] Time: 1745660115249 | Sensor: 15 | Type: Cold Spot Detected | Temp: 40.3968
[ALERT] Time: 1745660115249 | Sensor: 2 | Type: Isolated High Spike | Temp: 43.7544 C [NOTE] Neighbouring Sensors 1 and 3 are normal. 
[ALERT] Time: 1745660115249 | Sensor: 7 | Type: Isolated Low Spike | Temp: 40.0388 C [NOTE] Neighbouring Sensors 6 and 8 are normal.
[WARNING] Time: 1745660115249 | Sensor: 7 | Type: Cold Spot Detected | Temp: 40.0388
[ALERT] Time: 1745660115249 | Sensor: 11 | Type: Isolated Low Spike | Temp: 42.5331 C [NOTE] Neighbouring Sensors 10 and 12 are normal.
[ALERT] Time: 1745660115148 | Sensor: 13 | Type: Isolated Low Spike | Temp: 43.0209 C [NOTE] Neighbouring Sensors 12 and 14 are normal.
[ALERT] Time: 1745660115249 | Sensor: 5 | Type: Isolated High Spike | Temp: 43.8848 C [NOTE] Neighbouring Sensors 4 and 6 are normal. 
[WARNING] Time: 1745660115249 | Sensor: 1 | Type: Cold Spot Detected | Temp: 42.4031
[ALERT] Time: 1745660115249 | Sensor: 4 | Type: Isolated Low Spike | Temp: 40.86 C [NOTE] Neighbouring Sensors 3 and 5 are normal.
[ALERT] Time: 1745660115249 | Sensor: 8 | Type: Isolated High Spike | Temp: 44.3409 C [NOTE] Neighbouring Sensors 7 and 9 are normal. 
[WARNING] Time: 1745660115249 | Sensor: 4 | Type: Cold Spot Detected | Temp: 40.86
[ALERT] Time: 1745660115249 | Sensor: 9 | Type: Isolated Low Spike | Temp: 42.2956 C [NOTE] Neighbouring Sensors 8 and 10 are normal.
[WARNING] Time: 1745660115249 | Sensor: 9 | Type: Cold Spot Detected | Temp: 42.2956
[ALERT] Time: 1745660115353 | Sensor: 13 | Type: Isolated Low Spike | Temp: 40.3127 C [NOTE] Neighbouring Sensors 12 and 14 are normal.
[ALERT] Time: 1745660115353 | Sensor: 7 | Type: Isolated High Spike | Temp: 43.1533 C [NOTE] Neighbouring Sensors 6 and 8 are normal. 
[WARNING] Time: 1745660115353 | Sensor: 13 | Type: Cold Spot Detected | Temp: 40.3127
[WARNING] Time: 1745660115353 | Sensor: 15 | Type: Cold Spot Detected | Temp: 42.1839
[ALERT] Time: 1745660115353 | Sensor: 9 | Type: Isolated Low Spike | Temp: 40.3127 C [NOTE] Neighbouring Sensors 8 and 10 are normal.
[WARNING] Time: 1745660115353 | Sensor: 9 | Type: Cold Spot Detected | Temp: 40.3127
[WARNING] Time: 1745660115353 | Sensor: 2 | Type: Cold Spot Detected | Temp: 40.1224
[ALERT] Time: 1745660115353 | Sensor: 11 | Type: Isolated High Spike | Temp: 44.7745 C [NOTE] Neighbouring Sensors 10 and 12 are normal. 
[ALERT] Time: 1745660115353 | Sensor: 6 | Type: Isolated Low Spike | Temp: 40.8417 C [NOTE] Neighbouring Sensors 5 and 7 are normal.
[ALERT] Time: 1745660115249 | Sensor: 12 | Type: Isolated High Spike | Temp: 42.1059 C [NOTE] Neighbouring Sensors 11 and 13 are normal. 
[WARNING] Time: 1745660115353 | Sensor: 6 | Type: Cold Spot Detected | Temp: 40.8417
[ALERT] Time: 1745660115353 | Sensor: 8 | Type: Isolated High Spike | Temp: 44.0106 C [NOTE] Neighbouring Sensors 7 and 9 are normal. 
[ALERT] Time: 1745660115353 | Sensor: 10 | Type: Isolated High Spike | Temp: 41.3665 C [NOTE] Neighbouring Sensors 9 and 11 are normal. 
[ALERT] Time: 1745660115353 | Sensor: 4 | Type: Isolated High Spike | Temp: 43.9055 C [NOTE] Neighbouring Sensors 3 and 5 are normal. 
[WARNING] Time: 1745660115353 | Sensor: 10 | Type: Cold Spot Detected | Temp: 41.3665
[ALERT] Time: 1745660115353 | Sensor: 5 | Type: Isolated High Spike | Temp: 43.9814 C [NOTE] Neighbouring Sensors 4 and 6 are normal. 
[WARNING] Time: 1745660115455 | Sensor: 13 | Type: Cold Spot Detected | Temp: 40.2673
[ALERT] Time: 1745660115455 | Sensor: 8 | Type: Isolated High Spike | Temp: 41.8596 C [NOTE] Neighbouring Sensors 7 and 9 are normal. 
[WARNING] Time: 1745660115455 | Sensor: 9 | Type: Cold Spot Detected | Temp: 40.0044
[WARNING] Time: 1745660115455 | Sensor: 8 | Type: Cold Spot Detected | Temp: 41.8596
[ALERT] Time: 1745660115455 | Sensor: 12 | Type: Isolated High Spike | Temp: 43.8 C [NOTE] Neighbouring Sensors 11 and 13 are normal. 
[ALERT] Time: 1745660115455 | Sensor: 4 | Type: Isolated High Spike | Temp: 42.277 C [NOTE] Neighbouring Sensors 3 and 5 are normal. 
[ALERT] Time: 1745660115455 | Sensor: 5 | Type: Isolated High Spike | Temp: 42.0962 C [NOTE] Neighbouring Sensors 4 and 6 are normal. 
[ALERT] Time: 1745660115455 | Sensor: 7 | Type: Isolated High Spike | Temp: 41.5718 C [NOTE] Neighbouring Sensors 6 and 8 are normal. 
[WARNING] Time: 1745660115455 | Sensor: 1 | Type: Cold Spot Detected | Temp: 40.0605
[ALERT] Time: 1745660115455 | Sensor: 10 | Type: Isolated High Spike | Temp: 41.8604 C [NOTE] Neighbouring Sensors 9 and 11 are normal. 
[WARNING] Time: 1745660115353 | Sensor: 14 | Type: Cold Spot Detected | Temp: 41.1685
[ALERT] Time: 1745660115455 | Sensor: 3 | Type: Isolated High Spike | Temp: 42.5427 C [NOTE] Neighbouring Sensors 2 and 4 are normal. 
[WARNING] Time: 1745660115455 | Sensor: 14 | Type: Cold Spot Detected | Temp: 40.8866
[ALERT] Time: 1745660115455 | Sensor: 11 | Type: Isolated Low Spike | Temp: 41.1175 C [NOTE] Neighbouring Sensors 10 and 12 are normal.
[ALERT] Time: 1745660115455 | Sensor: 6 | Type: Isolated High Spike | Temp: 42.3841 C [NOTE] Neighbouring Sensors 5 and 7 are normal. 
[WARNING] Time: 1745660115455 | Sensor: 11 | Type: Cold Spot Detected | Temp: 41.1175
[ALERT] Time: 1745660115570 | Sensor: 7 | Type: Isolated High Spike | Temp: 44.8405 C [NOTE] Neighbouring Sensors 6 and 8 are normal. 
[ALERT] Time: 1745660115570 | Sensor: 14 | Type: Isolated High Spike | Temp: 43.8568 C [NOTE] Neighbouring Sensors 13 and 15 are normal. 
[WARNING] Time: 1745660115570 | Sensor: 10 | Type: Cold Spot Detected | Temp: 40.3736
[ALERT] Time: 1745660115570 | Sensor: 6 | Type: Isolated Low Spike | Temp: 41.1424 C [NOTE] Neighbouring Sensors 5 and 7 are normal.
[WARNING] Time: 1745660115570 | Sensor: 6 | Type: Cold Spot Detected | Temp: 41.1424
[ALERT] Time: 1745660115570 | Sensor: 13 | Type: Isolated High Spike | Temp: 44.9076 C [NOTE] Neighbouring Sensors 12 and 14 are normal. 
[ALERT] Time: 1745660115570 | Sensor: 3 | Type: Isolated Low Spike | Temp: 40.3088 C [NOTE] Neighbouring Sensors 2 and 4 are normal.
[WARNING] Time: 1745660115570 | Sensor: 3 | Type: Cold Spot Detected | Temp: 40.3088
[ALERT] Time: 1745660115570 | Sensor: 8 | Type: Isolated High Spike | Temp: 42.8813 C [NOTE] Neighbouring Sensors 7 and 9 are normal. 
[ALERT] Time: 1745660115570 | Sensor: 9 | Type: Isolated High Spike | Temp: 44.4491 C [NOTE] Neighbouring Sensors 8 and 10 are normal. 
[WARNING] Time: 1745660115455 | Sensor: 5 | Type: Cold Spot Detected | Temp: 42.0962
[ALERT] Time: 1745660115570 | Sensor: 10 | Type: Isolated Low Spike | Temp: 40.3736 C [NOTE] Neighbouring Sensors 9 and 11 are normal.
[WARNING] Time: 1745660115570 | Sensor: 1 | Type: Cold Spot Detected | Temp: 40.3116
[WARNING] Time: 1745660115570 | Sensor: 12 | Type: Cold Spot Detected | Temp: 41.6087
[ALERT] Time: 1745660115671 | Sensor: 8 | Type: Isolated High Spike | Temp: 43.1116 C [NOTE] Neighbouring Sensors 7 and 9 are normal. 
[ALERT] Time: 1745660115671 | Sensor: 13 | Type: Isolated High Spike | Temp: 44.5753 C [NOTE] Neighbouring Sensors 12 and 14 are normal. 
[WARNING] Time: 1745660115671 | Sensor: 5 | Type: Cold Spot Detected | Temp: 42.4068
[ALERT] Time: 1745660115671 | Sensor: 5 | Type: Isolated Low Spike | Temp: 42.4068 C [NOTE] Neighbouring Sensors 4 and 6 are normal.
[ALERT] Time: 1745660115671 | Sensor: 5 | Type: Isolated High Spike | Temp: 42.4068 C [NOTE] Neighbouring Sensors 4 and 6 are normal. 
[WARNING] Time: 1745660115671 | Sensor: 12 | Type: Cold Spot Detected | Temp: 40.474
[WARNING] Time: 1745660115671 | Sensor: 1 | Type: Cold Spot Detected | Temp: 40.474
[ALERT] Time: 1745660115671 | Sensor: 6 | Type: Isolated High Spike | Temp: 43.8085 C [NOTE] Neighbouring Sensors 5 and 7 are normal. 
[ALERT] Time: 1745660115671 | Sensor: 12 | Type: Isolated Low Spike | Temp: 40.474 C [NOTE] Neighbouring Sensors 11 and 13 are normal.
[WARNING] Time: 1745660115671 | Sensor: 14 | Type: Cold Spot Detected | Temp: 44.4636
[ALERT] Time: 1745660115671 | Sensor: 10 | Type: Isolated Low Spike | Temp: 40.5842 C [NOTE] Neighbouring Sensors 9 and 11 are normal.
[ALERT] Time: 1745660115671 | Sensor: 3 | Type: Isolated High Spike | Temp: 43.7939 C [NOTE] Neighbouring Sensors 2 and 4 are normal. 
[WARNING] Time: 1745660115671 | Sensor: 10 | Type: Cold Spot Detected | Temp: 40.5842
[WARNING] Time: 1745660115671 | Sensor: 15 | Type: Cold Spot Detected | Temp: 40.5481
[ALERT] Time: 1745660115671 | Sensor: 7 | Type: Isolated High Spike | Temp: 42.485 C [NOTE] Neighbouring Sensors 6 and 8 are normal. 
[ALERT] Time: 1745660115671 | Sensor: 7 | Type: Isolated Low Spike | Temp: 42.485 C [NOTE] Neighbouring Sensors 6 and 8 are normal.
[ALERT] Time: 1745660115671 | Sensor: 14 | Type: Isolated High Spike | Temp: 44.4636 C [NOTE] Neighbouring Sensors 13 and 15 are normal. 
[WARNING] Time: 1745660115671 | Sensor: 7 | Type: Cold Spot Detected | Temp: 42.485
[ALERT] Time: 1745660115772 | Sensor: 7 | Type: Isolated Low Spike | Temp: 41.2765 C [NOTE] Neighbouring Sensors 6 and 8 are normal.
[WARNING] Time: 1745660115772 | Sensor: 7 | Type: Cold Spot Detected | Temp: 41.2765
[ALERT] Time: 1745660115772 | Sensor: 3 | Type: Isolated Low Spike | Temp: 40.0447 C [NOTE] Neighbouring Sensors 2 and 4 are normal.
[WARNING] Time: 1745660115772 | Sensor: 3 | Type: Cold Spot Detected | Temp: 40.0447
[ALERT] Time: 1745660115772 | Sensor: 13 | Type: Isolated High Spike | Temp: 43.3575 C [NOTE] Neighbouring Sensors 12 and 14 are normal. 
[ALERT] Time: 1745660115772 | Sensor: 9 | Type: Isolated High Spike | Temp: 43.9796 C [NOTE] Neighbouring Sensors 8 and 10 are normal. 
[ALERT] Time: 1745660115772 | Sensor: 4 | Type: Isolated High Spike | Temp: 43.1497 C [NOTE] Neighbouring Sensors 3 and 5 are normal. 
[WARNING] Time: 1745660115671 | Sensor: 6 | Type: Cold Spot Detected | Temp: 43.8085
[WARNING] Time: 1745660115772 | Sensor: 10 | Type: Cold Spot Detected | Temp: 40.4881
[ALERT] Time: 1745660115671 | Sensor: 6 | Type: Isolated Low Spike | Temp: 43.8085 C [NOTE] Neighbouring Sensors 5 and 7 are normal.
[ALERT] Time: 1745660115772 | Sensor: 10 | Type: Isolated Low Spike | Temp: 40.4881 C [NOTE] Neighbouring Sensors 9 and 11 are normal.
[ALERT] Time: 1745660115772 | Sensor: 14 | Type: Isolated High Spike | Temp: 43.5264 C [NOTE] Neighbouring Sensors 13 and 15 are normal. 
[WARNING] Time: 1745660115772 | Sensor: 12 | Type: Cold Spot Detected | Temp: 41.9012
[ALERT] Time: 1745660115772 | Sensor: 12 | Type: Isolated Low Spike | Temp: 41.9012 C [NOTE] Neighbouring Sensors 11 and 13 are normal.
[ALERT] Time: 1745660115772 | Sensor: 6 | Type: Isolated High Spike | Temp: 43.7941 C [NOTE] Neighbouring Sensors 5 and 7 are normal. 
[WARNING] Time: 1745660115772 | Sensor: 14 | Type: Cold Spot Detected | Temp: 43.5264
[ALERT] Time: 1745660115772 | Sensor: 6 | Type: Isolated Low Spike | Temp: 43.7941 C [NOTE] Neighbouring Sensors 5 and 7 are normal.
[ALERT] Time: 1745660115772 | Sensor: 8 | Type: Isolated Low Spike | Temp: 40.5039 C [NOTE] Neighbouring Sensors 7 and 9 are normal.
[WARNING] Time: 1745660115772 | Sensor: 8 | Type: Cold Spot Detected | Temp: 40.5039
[WARNING] Time: 1745660115772 | Sensor: 6 | Type: Cold Spot Detected | Temp: 43.7941
[ALERT] Time: 1745660115772 | Sensor: 11 | Type: Isolated High Spike | Temp: 43.6287 C [NOTE] Neighbouring Sensors 10 and 12 are normal. 
[ALERT] Time: 1745660115883 | Sensor: 7 | Type: Isolated High Spike | Temp: 43.2552 C [NOTE] Neighbouring Sensors 6 and 8 are normal. 
[ALERT] Time: 1745660115883 | Sensor: 13 | Type: Isolated High Spike | Temp: 44.4103 C [NOTE] Neighbouring Sensors 12 and 14 are normal. 
[ALERT] Time: 1745660115883 | Sensor: 9 | Type: Isolated High Spike | Temp: 43.4011 C [NOTE] Neighbouring Sensors 8 and 10 are normal. 
[WARNING] Time: 1745660115883 | Sensor: 4 | Type: Cold Spot Detected | Temp: 42.12
[ALERT] Time: 1745660115883 | Sensor: 8 | Type: Isolated Low Spike | Temp: 42.8138 C [NOTE] Neighbouring Sensors 7 and 9 are normal.
[WARNING] Time: 1745660115883 | Sensor: 8 | Type: Cold Spot Detected | Temp: 42.8138
[CRITICAL] Time: 1745660115772 | Sensors: 3, 4, 5, 6 | Type: Clustered Low Spike | Avg Temp: 41 C
[WARNING] Time: 1745660115883 | Sensor: 5 | Type: Cold Spot Detected | Temp: 41.3197
[WARNING] Time: 1745660115883 | Sensor: 3 | Type: Cold Spot Detected | Temp: 40.6019
[CRITICAL] Time: 1745660115883 | Sensors: 3, 4, 5 | Type: Clustered Low Spike | Avg Temp: 41 C
[WARNING] Time: 1745660115883 | Sensor: 10 | Type: Cold Spot Detected | Temp: 40.2593
[ALERT] Time: 1745660115883 | Sensor: 14 | Type: Isolated High Spike | Temp: 43.7591 C [NOTE] Neighbouring Sensors 13 and 15 are normal. 
[ALERT] Time: 1745660115883 | Sensor: 11 | Type: Isolated High Spike | Temp: 44.6572 C [NOTE] Neighbouring Sensors 10 and 12 are normal. 
[ALERT] Time: 1745660115986 | Sensor: 14 | Type: Isolated High Spike | Temp: 43.5447 C [NOTE] Neighbouring Sensors 13 and 15 are normal. 
[ALERT] Time: 1745660115986 | Sensor: 6 | Type: Isolated Low Spike | Temp: 43.5447 C [NOTE] Neighbouring Sensors 5 and 7 are normal.
[ALERT] Time: 1745660115986 | Sensor: 6 | Type: Isolated High Spike | Temp: 43.5447 C [NOTE] Neighbouring Sensors 5 and 7 are normal. 
[WARNING] Time: 1745660115986 | Sensor: 6 | Type: Cold Spot Detected | Temp: 43.5447
[ALERT] Time: 1745660115986 | Sensor: 11 | Type: Isolated High Spike | Temp: 44.0733 C [NOTE] Neighbouring Sensors 10 and 12 are normal. 
[WARNING] Time: 1745660115986 | Sensor: 11 | Type: Cold Spot Detected | Temp: 44.0733
[WARNING] Time: 1745660115986 | Sensor: 10 | Type: Cold Spot Detected | Temp: 40.167
[ALERT] Time: 1745660115986 | Sensor: 8 | Type: Isolated Low Spike | Temp: 40.8032 C [NOTE] Neighbouring Sensors 7 and 9 are normal.
[WARNING] Time: 1745660115986 | Sensor: 8 | Type: Cold Spot Detected | Temp: 40.8032
[WARNING] Time: 1745660115986 | Sensor: 12 | Type: Cold Spot Detected | Temp: 40.7363
[WARNING] Time: 1745660115986 | Sensor: 4 | Type: Cold Spot Detected | Temp: 40.1883
